x,y
1.58991589696988,4.722946857656898
2.07131497257335,5.143771715793228
0.3207374817439218,0.7673077075025236
3.4623605968500994,3.9629157878725287
2.8330072710328755,4.869867917535952
6.326947454697227,-3.0550304622459414
7.616240267333499,-4.818056422734482
5.469702553792208,-0.9790876191525761
7.879732477780896,-4.864182943759378
9.64648098788107,-1.051649995704249
6.592844762256617,-3.587370170021618
8.337051899818409,-4.615013555054912
5.658989312021961,-1.4711482210348201
8.581636020592827,-4.291260293115659
6.447030464736006,-3.3039494479388516
5.915956810035584,-2.114018543608669
7.932564674050416,-4.857516869551706
5.100537730937468,0.006447988312672237
9.144700146086818,-2.975269469918313
5.023477380962736,0.213976807505599
