x,y
1.58991589696988,4.267003106584307
2.07131497257335,4.925976401342011
0.3207374817439218,1.0964654096227489
3.4623605968500994,4.258974190371994
2.8330072710328755,5.052464100025217
6.326947454697227,-3.4010492303543423
7.616240267333499,-4.682264283116531
5.469702553792208,-1.3167514085279386
7.879732477780896,-4.635879454288659
9.64648098788107,-1.3514306017669497
6.592844762256617,-3.864928627308533
8.337051899818409,-4.301182519102703
5.658989312021961,-1.8418673270529595
8.581636020592827,-3.985804575128469
6.447030464736006,-3.6226827015417875
5.915956810035584,-2.5017454605298575
7.932564674050416,-4.613790032222685
5.100537730937468,-0.22386941375225078
9.144700146086818,-2.868358688142621
5.023477380962736,0.011792643191942176
